13:39:57.673 
 _____     _ _ _
|_   _| __(_) (_)_   _ _ __ ___   | \ | | ___ | |_ ___  ___
  | || '__| | | | | | | '_ ` _ \  |  \| |/ _ \| __/ _ \/ __|
  | || |  | | | | |_| | | | | | | | |\  | (_) | ||  __/\__ \
  |_||_|  |_|_|_|\__,_|_| |_| |_| |_| \_|\___/ \__\___||___/ 0.102.0

13:39:57.673 📦 Versions:    app=0.102.0 db=234 sync=36 clipper=1.0
13:39:57.673 🔧 Build:       2026-03-01 18:17:49 (b96b004262)
13:39:57.673 📂 Data dir:    /home/darkhan/.local/share/trilium-data
13:39:57.673 ⏰ UTC time:    2026-03-16 04:39:57
13:39:57.674 💻 CPU:         12th Gen Intel(R) Core(TM) i5-12450H (12-core @ 4287 Mhz)
13:39:57.674 💾 DB size:     6 MiB
13:39:57.674 
13:39:57.692 Becca (note cache) load took 14ms
13:39:57.706 Updating attribute _help_Un4wj2Mak2Ky_ldocName from "User Guide/User Guide/Installation & Setup/Server Installation/Nix flake.clone" to "User Guide/User Guide/Installation & Setup/Desktop Installation/Nix flake"
13:39:57.714 Updating attribute _help_Un4wj2Mak2Ky_liconClass from "bx bx-file" to "bx bxl-tux"
13:39:57.715 Updating attribute _help_Un4wj2Mak2Ky_ldocName from "User Guide/User Guide/Installation & Setup/Desktop Installation/Nix flake" to "User Guide/User Guide/Installation & Setup/Server Installation/Nix flake.clone"
13:39:57.715 Updating attribute _help_Un4wj2Mak2Ky_liconClass from "bx bxl-tux" to "bx bx-file"
13:39:57.730 Trusted reverse proxy: false
13:39:57.731 App HTTP server starting up at port 37840
13:39:57.774 Registered global shortcut Ctrl+Alt+P for action createNoteIntoInbox
13:39:57.780 Listening on port 37840
13:39:58.000 CSRF token generation: Successful
13:39:58.118 200 GET /api/options with 9023 bytes took 1ms
13:39:58.121 200 GET /api/keyboard-actions with 23563 bytes took 2ms
13:39:58.123 200 GET /api/tree with 15171 bytes took 1ms
13:39:58.123 200 GET /api/autocomplete/notesCount with 3 bytes took 0ms
13:39:58.128 200 GET /api/options/locales with 1264 bytes took 1ms
13:39:58.165 200 GET /api/script/widgets with 2 bytes took 1ms
13:39:58.330 200 GET /api/keyboard-shortcuts-for-notes with 2 bytes took 0ms
13:39:58.331 200 GET /api/system-checks with 27 bytes took 1ms
13:39:58.332 200 POST /api/tree/load with 8816 bytes took 1ms
13:39:58.333 200 POST /api/tree/load with 14385 bytes took 0ms
13:39:58.365 200 POST /api/tree/load with 14385 bytes took 1ms
13:39:58.430 200 POST /api/tree/load with 10118 bytes took 0ms
13:39:58.431 200 POST /api/tree/load with 10148 bytes took 0ms
13:39:58.432 200 GET /api/notes/36J3c58v4MNO/blob with 6161 bytes took 1ms
13:39:58.437 200 GET /api/recent-changes/undefined with 2 bytes took 5ms
13:39:58.438 200 GET /api/notes/36J3c58v4MNO/metadata with 181 bytes took 1ms
13:39:58.438 200 GET /api/notes/36J3c58v4MNO/attachments with 2 bytes took 0ms
13:39:58.438 200 GET /api/notes/36J3c58v4MNO/attachments with 2 bytes took 0ms
13:39:58.439 200 GET /api/note-map/36J3c58v4MNO/backlink-count with 11 bytes took 0ms
13:39:58.439 200 POST /api/tree/load with 14385 bytes took 0ms
13:39:58.484 200 POST /api/tree/load with 22948 bytes took 1ms
13:39:58.510 200 GET /api/notes/zWRU0NI2swTf/metadata with 181 bytes took 0ms
13:39:58.511 200 GET /api/notes/zWRU0NI2swTf/attachments with 2 bytes took 1ms
13:39:58.521 200 GET /api/notes/root with 318 bytes took 1ms
13:39:58.538 200 GET /api/notes/_template_text_snippet with 344 bytes took 0ms
13:39:58.541 200 GET /api/notes/_template_list_view with 323 bytes took 0ms
13:39:58.542 200 GET /api/notes/_template_grid_view with 322 bytes took 0ms
13:39:58.543 200 GET /api/notes/_template_calendar with 325 bytes took 0ms
13:39:58.544 200 GET /api/notes/_template_table with 320 bytes took 0ms
13:39:58.545 200 GET /api/notes/_template_geo_map with 320 bytes took 0ms
13:39:58.545 200 GET /api/notes/_template_board with 325 bytes took 0ms
13:39:58.546 200 GET /api/notes/_template_presentation with 331 bytes took 0ms
13:39:58.549 200 GET /api/search-templates with 16 bytes took 2ms
13:39:58.551 200 POST /api/tree/load with 11499 bytes took 0ms
13:39:58.553 200 GET /api/notes/W8rf8cSwRwJp with 339 bytes took 0ms
13:39:58.571 200 GET /api/search/%23textSnippet with 2 bytes took 0ms
13:39:58.572 200 GET /api/search/%23workspace%20%23!template with 2 bytes took 0ms
13:39:58.574 200 GET /api/notes/zWRU0NI2swTf/blob with 5529 bytes took 1ms
13:39:58.575 200 GET /api/search/%23textSnippet with 2 bytes took 1ms
13:39:58.576 200 GET /api/autocomplete?query=&activeNoteId=36J3c58v4MNO&fastSearch=true with 5576 bytes took 0ms
13:39:59.019 JS Info: CKEditor state changed to ready
13:39:59.153 JS Info: CKEditor state changed to ready
13:40:00.334 200 GET /api/script/startup with 2 bytes took 2ms
13:40:01.724 Slow query took 26ms: SELECT COUNT(1) FROM notes
13:40:01.730 Table counts: notes: 425, revisions: 334, attachments: 1, branches: 426, attributes: 685, etapi_tokens: 0, blobs: 425
13:40:01.741 All consistency checks passed with no errors detected (took 43ms)
13:40:05.718 200 GET /api/tree?subTreeNoteId=nE9j2XF3Vzg9 with 14177 bytes took 1ms
13:40:05.966 204 PUT /api/branches/6ZKWkNedwrGX_nE9j2XF3Vzg9/expanded/1 with 0 bytes took 0ms
13:40:08.175 204 PUT /api/options with 0 bytes took 1ms
13:40:08.188 200 GET /api/notes/jUGJqJDbAe9p/blob with 1676 bytes took 1ms
13:40:08.198 200 GET /api/notes/jUGJqJDbAe9p/metadata with 181 bytes took 0ms
13:40:08.199 200 GET /api/notes/jUGJqJDbAe9p/attachments with 2 bytes took 1ms
13:40:08.199 200 GET /api/notes/jUGJqJDbAe9p/attachments with 2 bytes took 0ms
13:40:08.200 200 GET /api/note-map/jUGJqJDbAe9p/backlink-count with 11 bytes took 0ms
13:40:12.469 204 PUT /api/options with 0 bytes took 1ms
13:40:12.477 200 GET /api/notes/DWCdJhUsYNKD/blob with 1764 bytes took 0ms
13:40:12.484 200 GET /api/notes/DWCdJhUsYNKD/metadata with 181 bytes took 0ms
13:40:12.485 200 GET /api/notes/DWCdJhUsYNKD/attachments with 2 bytes took 1ms
13:40:12.485 200 GET /api/notes/DWCdJhUsYNKD/attachments with 2 bytes took 0ms
13:40:12.486 200 GET /api/note-map/DWCdJhUsYNKD/backlink-count with 11 bytes took 1ms
13:40:13.340 200 GET /api/notes/RGcnNDfxWnz0/blob with 534 bytes took 1ms
13:40:13.346 200 GET /api/notes/RGcnNDfxWnz0/metadata with 181 bytes took 0ms
13:40:13.347 200 GET /api/notes/RGcnNDfxWnz0/attachments with 2 bytes took 0ms
13:40:13.347 200 GET /api/notes/RGcnNDfxWnz0/attachments with 2 bytes took 0ms
13:40:13.348 200 GET /api/note-map/RGcnNDfxWnz0/backlink-count with 11 bytes took 0ms
13:40:13.483 204 PUT /api/options with 0 bytes took 1ms
13:40:17.315 204 PUT /api/options with 0 bytes took 0ms
13:40:17.326 200 GET /api/notes/NIPdkaeyPw0g/blob with 843 bytes took 1ms
13:40:17.332 200 GET /api/notes/NIPdkaeyPw0g/metadata with 181 bytes took 0ms
13:40:17.333 200 GET /api/notes/NIPdkaeyPw0g/attachments with 2 bytes took 0ms
13:40:17.333 200 GET /api/notes/NIPdkaeyPw0g/attachments with 2 bytes took 0ms
13:40:17.334 200 GET /api/note-map/NIPdkaeyPw0g/backlink-count with 11 bytes took 0ms
13:40:21.395 204 PUT /api/notes/NIPdkaeyPw0g/data with 0 bytes took 4ms
13:40:22.406 204 PUT /api/notes/NIPdkaeyPw0g/data with 0 bytes took 1ms
13:40:22.408 204 PUT /api/notes/NIPdkaeyPw0g/data with 0 bytes took 0ms
13:40:31.640 204 PUT /api/notes/NIPdkaeyPw0g/data with 0 bytes took 2ms
13:40:39.450 204 PUT /api/notes/NIPdkaeyPw0g/data with 0 bytes took 1ms
13:40:40.457 204 PUT /api/notes/NIPdkaeyPw0g/data with 0 bytes took 1ms
13:40:40.459 204 PUT /api/notes/NIPdkaeyPw0g/data with 0 bytes took 0ms
13:40:41.473 204 PUT /api/notes/NIPdkaeyPw0g/data with 0 bytes took 2ms
13:40:41.474 204 PUT /api/notes/NIPdkaeyPw0g/data with 0 bytes took 1ms
13:40:42.481 204 PUT /api/notes/NIPdkaeyPw0g/data with 0 bytes took 1ms
13:40:42.484 204 PUT /api/notes/NIPdkaeyPw0g/data with 0 bytes took 0ms
13:40:43.490 204 PUT /api/notes/NIPdkaeyPw0g/data with 0 bytes took 1ms
13:40:43.493 204 PUT /api/notes/NIPdkaeyPw0g/data with 0 bytes took 1ms
13:40:44.516 204 PUT /api/notes/NIPdkaeyPw0g/data with 0 bytes took 1ms
13:40:44.517 204 PUT /api/notes/NIPdkaeyPw0g/data with 0 bytes took 0ms
13:40:44.521 204 PUT /api/notes/NIPdkaeyPw0g/data with 0 bytes took 1ms
13:40:44.524 204 PUT /api/notes/NIPdkaeyPw0g/data with 0 bytes took 1ms
13:40:45.531 204 PUT /api/notes/NIPdkaeyPw0g/data with 0 bytes took 2ms
13:40:45.532 204 PUT /api/notes/NIPdkaeyPw0g/data with 0 bytes took 0ms
13:40:45.535 204 PUT /api/notes/NIPdkaeyPw0g/data with 0 bytes took 0ms
13:40:45.538 204 PUT /api/notes/NIPdkaeyPw0g/data with 0 bytes took 0ms
13:40:46.545 204 PUT /api/notes/NIPdkaeyPw0g/data with 0 bytes took 1ms
13:40:46.550 204 PUT /api/notes/NIPdkaeyPw0g/data with 0 bytes took 1ms
13:40:47.791 204 PUT /api/notes/NIPdkaeyPw0g/data with 0 bytes took 2ms
13:40:57.796 200 GET /api/notes/NIPdkaeyPw0g/metadata with 181 bytes took 1ms
13:40:58.056 204 PUT /api/notes/NIPdkaeyPw0g/data with 0 bytes took 1ms
13:40:59.064 204 PUT /api/notes/NIPdkaeyPw0g/data with 0 bytes took 1ms
13:41:04.350 204 PUT /api/notes/NIPdkaeyPw0g/data with 0 bytes took 1ms
13:41:05.361 204 PUT /api/notes/NIPdkaeyPw0g/data with 0 bytes took 1ms
13:41:08.447 204 PUT /api/notes/NIPdkaeyPw0g/data with 0 bytes took 1ms
13:41:15.946 204 PUT /api/options with 0 bytes took 1ms
13:41:15.954 200 GET /api/notes/QWzJSEKDwKHX/blob with 832 bytes took 0ms
13:41:15.962 200 GET /api/notes/QWzJSEKDwKHX/metadata with 181 bytes took 0ms
13:41:15.962 200 GET /api/notes/QWzJSEKDwKHX/attachments with 2 bytes took 0ms
13:41:15.963 200 GET /api/notes/QWzJSEKDwKHX/attachments with 2 bytes took 0ms
13:41:15.963 200 GET /api/note-map/QWzJSEKDwKHX/backlink-count with 11 bytes took 0ms
13:41:17.826 204 PUT /api/options with 0 bytes took 0ms
13:41:17.834 200 GET /api/notes/RGcnNDfxWnz0/blob with 534 bytes took 0ms
13:41:17.842 200 GET /api/notes/RGcnNDfxWnz0/metadata with 181 bytes took 0ms
13:41:17.842 200 GET /api/note-map/RGcnNDfxWnz0/backlink-count with 11 bytes took 0ms
13:41:18.452 200 GET /api/notes/NIPdkaeyPw0g/metadata with 181 bytes took 0ms
13:41:19.512 204 PUT /api/options with 0 bytes took 0ms
