10:38:47.459 
 _____     _ _ _
|_   _| __(_) (_)_   _ _ __ ___   | \ | | ___ | |_ ___  ___
  | || '__| | | | | | | '_ ` _ \  |  \| |/ _ \| __/ _ \/ __|
  | || |  | | | | |_| | | | | | | | |\  | (_) | ||  __/\__ \
  |_||_|  |_|_|_|\__,_|_| |_| |_| |_| \_|\___/ \__\___||___/ 0.102.0

10:38:47.460 📦 Versions:    app=0.102.0 db=234 sync=36 clipper=1.0
10:38:47.460 🔧 Build:       2026-03-01 18:17:49 (b96b004262)
10:38:47.460 📂 Data dir:    /home/darkhan/.local/share/trilium-data
10:38:47.460 ⏰ UTC time:    2026-03-23 01:38:47
10:38:47.460 💻 CPU:         12th Gen Intel(R) Core(TM) i5-12450H (12-core @ 1225 Mhz)
10:38:47.460 💾 DB size:     6.4 MiB
10:38:47.461 
10:38:47.486 Becca (note cache) load took 22ms
10:38:47.498 Updating attribute _help_Un4wj2Mak2Ky_ldocName from "User Guide/User Guide/Installation & Setup/Server Installation/Nix flake.clone" to "User Guide/User Guide/Installation & Setup/Desktop Installation/Nix flake"
10:38:47.506 Updating attribute _help_Un4wj2Mak2Ky_liconClass from "bx bx-file" to "bx bxl-tux"
10:38:47.506 Updating attribute _help_Un4wj2Mak2Ky_ldocName from "User Guide/User Guide/Installation & Setup/Desktop Installation/Nix flake" to "User Guide/User Guide/Installation & Setup/Server Installation/Nix flake.clone"
10:38:47.507 Updating attribute _help_Un4wj2Mak2Ky_liconClass from "bx bxl-tux" to "bx bx-file"
10:38:47.519 Trusted reverse proxy: false
10:38:47.520 App HTTP server starting up at port 37840
10:38:47.559 Registered global shortcut Ctrl+Alt+P for action createNoteIntoInbox
10:38:47.563 Listening on port 37840
10:38:47.802 CSRF token generation: Successful
10:38:47.918 200 GET /api/options with 8794 bytes took 1ms
10:38:47.922 200 GET /api/keyboard-actions with 23563 bytes took 2ms
10:38:47.923 200 GET /api/tree with 16189 bytes took 1ms
10:38:47.924 200 GET /api/autocomplete/notesCount with 3 bytes took 0ms
10:38:47.940 200 GET /api/options/locales with 1264 bytes took 0ms
10:38:47.976 200 GET /api/script/widgets with 2 bytes took 1ms
10:38:48.135 200 GET /api/keyboard-shortcuts-for-notes with 2 bytes took 0ms
10:38:48.136 200 GET /api/system-checks with 27 bytes took 1ms
10:38:48.136 200 POST /api/tree/load with 8816 bytes took 0ms
10:38:48.137 200 POST /api/tree/load with 14385 bytes took 1ms
10:38:48.199 200 POST /api/tree/load with 10118 bytes took 0ms
10:38:48.200 200 POST /api/tree/load with 10148 bytes took 0ms
10:38:48.211 Slow 200 GET /api/recent-changes/undefined with 2 bytes took 10ms
10:38:48.212 200 GET /api/notes/root/metadata with 181 bytes took 0ms
10:38:48.216 200 GET /api/search/note.parents.noteId%3D%22root%22%20%23!archived with 41 bytes took 3ms
10:38:48.217 200 GET /api/notes/root/attachments with 2 bytes took 0ms
10:38:48.218 200 POST /api/tree/load with 14385 bytes took 1ms
10:38:48.220 200 POST /api/tree/load with 22948 bytes took 0ms
10:38:48.236 200 GET /api/notes/root/attachments with 2 bytes took 0ms
10:38:48.237 200 GET /api/note-map/root/backlink-count with 11 bytes took 0ms
10:38:48.276 200 GET /api/notes/root with 318 bytes took 0ms
