10:20:05.127 
 _____     _ _ _
|_   _| __(_) (_)_   _ _ __ ___   | \ | | ___ | |_ ___  ___
  | || '__| | | | | | | '_ ` _ \  |  \| |/ _ \| __/ _ \/ __|
  | || |  | | | | |_| | | | | | | | |\  | (_) | ||  __/\__ \
  |_||_|  |_|_|_|\__,_|_| |_| |_| |_| \_|\___/ \__\___||___/ 0.102.0

10:20:05.127 📦 Versions:    app=0.102.0 db=234 sync=36 clipper=1.0
10:20:05.127 🔧 Build:       2026-03-01 18:17:49 (b96b004262)
10:20:05.127 📂 Data dir:    /home/darkhan/.local/share/trilium-data
10:20:05.127 ⏰ UTC time:    2026-03-10 01:20:04
10:20:05.128 💻 CPU:         12th Gen Intel(R) Core(TM) i5-12450H (12-core @ 908 Mhz)
10:20:05.128 💾 DB size:     3.8 MiB
10:20:05.128 
10:20:05.146 Becca (note cache) load took 13ms
10:20:05.159 Updating attribute _help_Un4wj2Mak2Ky_ldocName from "User Guide/User Guide/Installation & Setup/Server Installation/Nix flake.clone" to "User Guide/User Guide/Installation & Setup/Desktop Installation/Nix flake"
10:20:05.164 Updating attribute _help_Un4wj2Mak2Ky_liconClass from "bx bx-file" to "bx bxl-tux"
10:20:05.166 Updating attribute _help_Un4wj2Mak2Ky_ldocName from "User Guide/User Guide/Installation & Setup/Desktop Installation/Nix flake" to "User Guide/User Guide/Installation & Setup/Server Installation/Nix flake.clone"
10:20:05.166 Updating attribute _help_Un4wj2Mak2Ky_liconClass from "bx bxl-tux" to "bx bx-file"
10:20:05.182 Trusted reverse proxy: false
10:20:05.183 App HTTP server starting up at port 37840
10:20:05.227 Registered global shortcut Ctrl+Alt+P for action createNoteIntoInbox
10:20:05.234 Listening on port 37840
10:20:05.477 CSRF token generation: Successful
10:20:05.602 200 GET /api/options with 9063 bytes took 1ms
10:20:05.604 200 GET /api/keyboard-actions with 23563 bytes took 1ms
10:20:05.606 200 GET /api/tree with 16400 bytes took 1ms
10:20:05.607 200 GET /api/autocomplete/notesCount with 3 bytes took 1ms
10:20:05.609 200 GET /api/options/locales with 1264 bytes took 1ms
10:20:05.649 200 GET /api/script/widgets with 2 bytes took 1ms
10:20:05.836 200 GET /api/keyboard-shortcuts-for-notes with 2 bytes took 1ms
10:20:05.836 200 GET /api/system-checks with 27 bytes took 0ms
10:20:05.837 200 POST /api/tree/load with 8816 bytes took 0ms
10:20:05.837 200 POST /api/tree/load with 14385 bytes took 0ms
10:20:05.877 200 POST /api/tree/load with 14385 bytes took 0ms
10:20:05.958 200 POST /api/tree/load with 10118 bytes took 1ms
10:20:05.959 200 POST /api/tree/load with 10148 bytes took 1ms
10:20:05.963 200 GET /api/recent-changes/undefined with 2 bytes took 3ms
10:20:05.964 200 GET /api/notes/6IAaWWzMwxxx/metadata with 181 bytes took 1ms
10:20:05.964 200 GET /api/notes/6IAaWWzMwxxx/attachments with 2 bytes took 0ms
10:20:05.965 200 GET /api/notes/abEALK9g8bja/metadata with 181 bytes took 1ms
10:20:05.965 200 GET /api/notes/abEALK9g8bja/attachments with 2 bytes took 0ms
10:20:05.965 200 GET /api/notes/6IAaWWzMwxxx/attachments with 2 bytes took 0ms
10:20:05.966 200 GET /api/note-map/6IAaWWzMwxxx/backlink-count with 11 bytes took 0ms
10:20:05.967 200 POST /api/tree/load with 14385 bytes took 1ms
10:20:06.001 200 POST /api/tree/load with 22948 bytes took 1ms
10:20:06.021 200 GET /api/notes/root with 318 bytes took 0ms
10:20:06.025 200 GET /api/notes/_template_text_snippet with 344 bytes took 0ms
10:20:06.027 200 GET /api/notes/_template_list_view with 323 bytes took 0ms
10:20:06.029 200 GET /api/notes/_template_grid_view with 322 bytes took 1ms
10:20:06.030 200 GET /api/notes/_template_calendar with 325 bytes took 1ms
10:20:06.039 200 GET /api/notes/_template_table with 320 bytes took 0ms
10:20:06.045 200 GET /api/notes/abEALK9g8bja/blob with 5794 bytes took 1ms
10:20:06.046 200 GET /api/search/%23textSnippet with 2 bytes took 0ms
10:20:06.049 200 GET /api/notes/6IAaWWzMwxxx/blob with 4214 bytes took 2ms
10:20:06.050 200 GET /api/search/%23textSnippet with 2 bytes took 1ms
10:20:06.052 200 GET /api/notes/_template_geo_map with 320 bytes took 1ms
10:20:06.060 200 GET /api/notes/_template_board with 325 bytes took 0ms
10:20:06.062 200 GET /api/notes/_template_presentation with 331 bytes took 0ms
10:20:06.068 200 GET /api/search-templates with 16 bytes took 2ms
10:20:06.073 200 GET /api/search/%23workspace%20%23!template with 2 bytes took 1ms
10:20:06.074 200 GET /api/notes/W8rf8cSwRwJp with 339 bytes took 0ms
10:20:06.078 200 GET /api/autocomplete?query=&activeNoteId=6IAaWWzMwxxx&fastSearch=true with 5462 bytes took 2ms
10:20:06.553 JS Info: CKEditor state changed to ready
10:20:06.678 JS Info: CKEditor state changed to ready
10:20:07.839 200 GET /api/script/startup with 2 bytes took 2ms
10:20:09.154 Table counts: notes: 605, revisions: 121, attachments: 21, branches: 620, attributes: 950, etapi_tokens: 0, blobs: 343
10:20:09.166 All consistency checks passed with no errors detected (took 16ms)
10:20:27.091 204 PUT /api/options with 0 bytes took 1ms
10:20:27.103 200 GET /api/notes/jAkifihVKiys/blob with 3772 bytes took 0ms
10:20:27.113 200 GET /api/notes/jAkifihVKiys/metadata with 181 bytes took 1ms
10:20:27.114 200 GET /api/notes/jAkifihVKiys/attachments with 2 bytes took 0ms
10:20:27.115 200 GET /api/notes/jAkifihVKiys/attachments with 2 bytes took 0ms
10:20:27.115 200 GET /api/note-map/jAkifihVKiys/backlink-count with 11 bytes took 0ms
10:20:28.094 200 GET /api/notes/6IAaWWzMwxxx/blob with 4214 bytes took 1ms
10:20:28.100 200 GET /api/notes/6IAaWWzMwxxx/metadata with 181 bytes took 0ms
10:20:28.101 200 GET /api/note-map/6IAaWWzMwxxx/backlink-count with 11 bytes took 0ms
10:20:28.112 204 PUT /api/options with 0 bytes took 1ms
10:21:26.882 204 PUT /api/branches/6ZKWkNedwrGX_nE9j2XF3Vzg9/expanded/0 with 0 bytes took 1ms
10:21:27.328 204 PUT /api/options with 0 bytes took 0ms
